norad,count
22338,12632
20775,16145
13815,14082
10413,15084
15614,14480
10451,14267
12273,12491
12739,16617
4191,9969
22289,12728
17108,14968
335,16223
20150,14249
12962,14924
14410,12139
12836,15535
10240,14659
22552,9823
27492,5474
9695,14284
26346,4948
5531,14124
5183,14595
14407,15734
13579,14728
27469,6806
722,16265
4638,18231
7167,16017
7076,14523
21164,13238
7136,13983
4195,13404
8146,14513
12265,15316
5272,16850
2124,14770
4777,17428
230,16422
16720,16333
27536,8069
23706,11388
10454,14931
14345,13696
51,14410
14469,11849
753,14411
17129,14724
5715,13243
26415,7431
21393,15083
26351,9372
10445,13965
14179,14253
12223,15910
13503,13985
4144,16388
26236,9596
4664,13926
22550,10501
7038,15763
21548,12486
657,14866
121,16193
658,15087
510,13280
701,15554
351,16726
334,15801
47,17471
27085,5975
12169,14924
25407,11904
14910,14341
7489,11395
14629,10036
5220,14863
5386,12591
21356,11853
12736,14634
7028,14687
7938,12772
10765,14216
27577,4338
21284,13447
12269,16212
20889,15192
4658,15799
21351,13323
21801,11033
9656,15049
22344,14012
7857,10767
6660,16524
21528,14850
18539,11427
13804,14177
15945,16344
25759,11650
14715,10562
18969,12162
4778,14797
21458,11878
27137,6118
10517,17499
10761,16480
10872,13701
18728,13900
10760,16407
8785,8138
5694,15556
26285,6550
5922,12194
4938,12587
3810,15507
27157,2310
12706,15274
26286,9191
17765,13046
14913,13304
10751,16944
27653,5278
9985,7613
10392,9771
25997,10192
10717,12571
17608,11829
26622,11355
22645,11054
4929,14589
27158,5586
25992,10259
23089,12121
26230,6437
2802,16812
23091,11959
17105,14258
22591,13697
1500,14054
1672,15909
25566,9169
23279,14600
3938,19720
22332,12350
10793,15940
4394,18232
10890,14307
4665,17381
27759,631
16383,14642
5083,4147
26280,9430
25027,10082
8615,14672
8646,16330
9042,15312
10450,14427
10732,15746
12195,16012
12236,14273
12670,15106
12713,15445
12768,15588
12949,16124
13018,15100
13068,17246
13486,16555
13783,16003
13808,14239
13942,14583
13947,10572
14502,14069
15756,13606
17720,12977
4739,17443
18908,9784
19138,13021
19261,11788
20012,8692
12333,14318
20673,10482
21171,13354
21340,9988
21342,12976
21497,12904
21712,13063
22015,12586
22383,10054
14700,16396
18821,16110
18278,14002
659,14894
1335,16665
1815,17615
18490,6891
2886,12344
2976,12939
228,15366
3131,16005
18411,14010
27725,5320
26187,9186
3509,17791
3755,11861
4667,17657
21610,14788
22612,12288
5185,14652
5347,13970
5443,10438
3094,14589
4699,16160
5615,15381
5690,10980
5786,10508
20904,13569
7044,15019
7023,14342
7073,14396
7085,15067
7133,12637
7138,15002
17090,13824
7364,16823
8141,14860
8563,11956
15056,15194
10861,13645
8790,12346
8958,15549
22357,14540
27250,1710
8757,15017
9989,13656
27231,3452
22600,12722
10393,11358
10411,13647
10600,15029
10626,14708
10660,14154
20303,15277
10832,14460
24985,8068
12170,16905
12211,14046
12673,17325
12726,17134
12782,14445
13121,17248
13386,14351
26732,6492
26968,9237
7933,15538
27493,5227
27353,7383
14881,9521
14934,5881
15528,12268
25723,11828
16271,11721
14443,16247
18313,14202
23234,9571
18689,7548
18749,16099
28073,4945
19228,15852
10250,14715
20907,12772
26229,7037
246,14338
21175,13133
21185,13039
21209,13214
21254,13359
21280,13417
21282,13250
21333,13380
21406,11973
21452,12639
21453,13173
10746,17093
21463,11387
21492,11855
21543,9729
21691,13259
25834,11808
22326,12559
22418,13209
22421,13292
27747,3420
22575,12463
23308,12436
16865,16959
26131,2325
14059,15064
25028,10293
17702,14480
10992,16299
18784,8085
25281,12000
27545,5550
4629,17124
26551,6762
26442,10001
23408,11856
354,15565
1981,12370
2223,13249
3122,15083
15541,14856
8908,18157
25655,10244
5015,17482
5088,16674
24091,11088
7071,14741
7132,14820
7173,15786
7025,14564
26701,8402
8406,13323
21567,10025
10438,14205
10763,14195
25203,10276
1833,15173
11511,16287
12658,16778
12662,15729
12690,15806
12707,14580
12786,16801
26001,9837
26008,9723
13510,10491
329,14750
13561,14842
5384,15902
27768,6575
16728,14985
903,14303
12527,14199
17528,16277
22223,12661
18586,15808
19150,10954
26186,6176
19306,6465
23906,9124
23457,13010
20895,13469
20906,12650
21153,13933
21155,12593
21499,12049
22348,13338
22366,13235
4173,16308
25505,7180
22441,14205
254,15468
22889,12691
23769,9192
10828,13726
13578,9294
15335,16095
17614,13404
17806,12911
21181,11522
22605,12524
7893,15572
10490,17290
20763,14569
1099,16164
24298,12492
4154,16360
20629,13348
3811,12735
4613,16915
7832,7614
2088,15862
19275,15861
700,15417
27586,8612
26755,5368
10013,14674
6320,14848
25506,10644
12674,14927
12534,15271
2123,14567
4738,17203
22327,13096
6708,15890
7014,14688
12748,14696
14815,11608
4675,15003
22350,14227
9957,13012
4187,16244
4206,17028
4628,17290
9444,16524
7979,15412
26155,9409
16953,15927
15483,15974
25510,11547
4169,16271
26073,9719
4867,15032
530,14684
2154,15740
4668,18041
7130,15686
26332,6382
17805,15143
14509,12596
7086,13297
3559,17511
22496,13846
22551,9786
27132,11163
20262,15335
9023,16623
22351,13529
22341,12836
7042,15597
14905,12641
14458,14649
